value,athlete_id,athlete_title,athlete_first,athlete_last,athlete_country_id,athlete_gender,athlete_yob,athlete_noc,athlete_country_name,athlete_country_isoa2,result_id,position,total_time,swim_time,t1_time,bike_time,t2_time,run_time,prog_id,event_id,prog_name,prog_date,prog_time,prog_notes,event_title,event_venue,event_country,event_latitude,event_longitude,event_date,event_country_isoa2,event_country_noc,event_region_id,event_country_id,event_region_name,cat_name,wetsuit,temp_water,temp_air
NA,5407,Ricarda Lisk,Ricarda,Lisk,170,female,1981,GER,Germany,DE,202273,11,02:00:42,00:22:06,00:00:28,01:02:28,00:00:20,00:35:22,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,8739,Kate Mcilroy,Kate,Mcilroy,232,female,1981,NZL,New Zealand,NZ,202274,12,02:00:54,00:22:08,00:00:28,01:02:25,00:00:24,00:35:30,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,6246,Sarah True,Sarah,True,293,female,1981,USA,United States,US,202275,13,02:01:03,00:21:45,00:00:30,01:02:00,00:00:23,00:36:27,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5312,Anja Dittmer,Anja,Dittmer,170,female,1975,GER,Germany,DE,202276,14,02:01:09,00:22:21,00:00:27,01:03:43,00:00:20,00:34:18,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5567,Debbie Tanner,Debbie,Tanner,232,female,1982,NZL,New Zealand,NZ,202277,15,02:01:37,00:22:05,00:00:27,01:02:28,00:00:20,00:36:19,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5376,Ainhoa Murua Zubizarreta,Ainhoa,Murua Zubizarreta,270,female,1978,ESP,Spain,ES,202278,16,02:01:45,00:22:08,00:00:28,01:03:54,00:00:23,00:34:52,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,12785,Juri Ide,Juri,Ide,192,female,1983,JPN,Japan,JP,202279,17,02:01:47,00:22:08,00:00:30,01:03:56,00:00:24,00:34:51,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5467,Vendula Frintova,Vendula,Frintova,152,female,1983,CZE,Czech Republic,CZ,202280,18,02:01:59,00:22:22,00:00:28,01:03:40,00:00:19,00:35:11,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,5476,Lauren Groves,Lauren,Groves,135,female,1981,CAN,Canada,CA,202281,19,02:02:07,00:22:14,00:00:31,01:03:50,00:00:23,00:35:12,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
NA,6122,Felicity Sheedy-Ryan,Felicity,Sheedy-Ryan,111,female,1985,AUS,Australia,AU,202282,20,02:02:12,00:22:19,00:00:30,01:03:46,00:00:23,00:35:15,4818,5105,Elite Women,2009-09-13,14:14:00,,2009 Dextro Energy Triathlon - ITU World Championship Grand Final Gold Coast,Gold Coast,Australia,-28.136289,153.477806,2009-09-09,AU,AUS,14,111,Oceania,Sprint,FALSE,NA,NA
